primaryImage,Object Date
https://images.metmuseum.org/CRDImages/rl/original/DT718.jpg,1836
https://images.metmuseum.org/CRDImages/ep/original/DP162152.jpg,1799
https://images.metmuseum.org/CRDImages/ep/original/DT215405.jpg,1873
https://images.metmuseum.org/CRDImages/ep/original/EP1436.jpg,1874
https://images.metmuseum.org/CRDImages/ad/original/ap07.233.38.jpg,ca. 1850
https://images.metmuseum.org/CRDImages/ep/original/DP136269.jpg,late 1650s or early 1660s
https://images.metmuseum.org/CRDImages/ad/original/DT233622.jpg,1819
https://images.metmuseum.org/CRDImages/ep/original/DP364161.jpg,1894
https://images.metmuseum.org/CRDImages/ep/original/DP-19550-001.jpg,ca. 1408–10
https://images.metmuseum.org/CRDImages/ad/original/ap1977.258.3.jpg,ca. 1850
https://images.metmuseum.org/CRDImages/ep/original/DP105662.jpg,ca. 1507–9
https://images.metmuseum.org/CRDImages/rl/original/DT3065.jpg,1494(?)
https://images.metmuseum.org/CRDImages/ad/original/ap1970.283.5.jpg,ca. 1700
https://images.metmuseum.org/CRDImages/ep/original/DP-18296-027.jpg,ca. 1505–9
https://images.metmuseum.org/CRDImages/ep/original/DP-14201-033.jpg,ca. 1867–70
https://images.metmuseum.org/CRDImages/ep/original/DP147902.jpg,early 1650s
https://images.metmuseum.org/CRDImages/rl/original/DT3127.jpg,1881
https://images.metmuseum.org/CRDImages/as/original/LC-TR_310_2017_sr1-002.jpg,late 18th century
https://images.metmuseum.org/CRDImages/ep/original/DP375107.jpg,1568
https://images.metmuseum.org/CRDImages/ep/original/DP146508.jpg,1670s
https://images.metmuseum.org/CRDImages/ad/original/ap64.198.7.jpg,ca. 1870–80
https://images.metmuseum.org/CRDImages/ep/original/DT3739.jpg,1818
https://images.metmuseum.org/CRDImages/as/original/LC-2008_359_39_001.jpg,early 19th century
https://images.metmuseum.org/CRDImages/ad/original/ap97.29.1.jpg,ca. 1845
https://images.metmuseum.org/CRDImages/ad/original/DT357259.jpg,1700–1725
https://images.metmuseum.org/CRDImages/ep/original/DT318073.jpg,ca. 1866
https://images.metmuseum.org/CRDImages/ad/original/DT11749.jpg,ca. 1786
https://images.metmuseum.org/CRDImages/ep/original/DP356140.jpg,1753
https://images.metmuseum.org/CRDImages/rl/original/DP318246.jpg,late 15th century
https://images.metmuseum.org/CRDImages/rl/original/DP-17279-001.jpg,1892
https://images.metmuseum.org/CRDImages/ad/original/ap22.45.3.jpg,ca. 1838–40
https://images.metmuseum.org/CRDImages/ad/original/APS388.jpg,ca. 1825
https://images.metmuseum.org/CRDImages/ep/original/DP317663.jpg,1710
https://images.metmuseum.org/CRDImages/ad/original/ap04.29.3.jpg,ca. 1819
https://images.metmuseum.org/CRDImages/ad/original/DT2045.jpg,after 1795
https://images.metmuseum.org/CRDImages/as/original/DP156423.jpg,early 12th century
https://images.metmuseum.org/CRDImages/ad/original/VR 39.184.19 Ptg. Ret.jpg,1750–75
https://images.metmuseum.org/CRDImages/ad/original/DP161239.jpg,1894
https://images.metmuseum.org/CRDImages/as/original/DP166101.jpg,ca. 1800
https://images.metmuseum.org/CRDImages/ep/original/DP169319.jpg,ca. 1895
https://images.metmuseum.org/CRDImages/ep/original/DP101529.jpg,ca. 1655–57
https://images.metmuseum.org/CRDImages/rl/original/DP366040.jpg,ca. 1447–65
https://images.metmuseum.org/CRDImages/ad/original/DT9506.jpg,1880–90
https://images.metmuseum.org/CRDImages/as/original/14_140_12_F_sf.jpg,17th century
https://images.metmuseum.org/CRDImages/ad/original/ap54.90.32.jpg,1840
https://images.metmuseum.org/CRDImages/ad/original/ap94.23.2.jpg,1821
https://images.metmuseum.org/CRDImages/as/original/51_39_5_149653.JPG,17th or 18th century
https://images.metmuseum.org/CRDImages/ad/original/ap06.179.jpg,1783
https://images.metmuseum.org/CRDImages/ep/original/DP261714.jpg,ca. 1325
https://images.metmuseum.org/CRDImages/ep/original/DP365507.jpg,1540–45
https://images.metmuseum.org/CRDImages/ep/original/DP143161.jpg,1639
https://images.metmuseum.org/CRDImages/rl/original/DT3139.jpg,1878
https://images.metmuseum.org/CRDImages/ep/original/32.100.119.jpg,1574
https://images.metmuseum.org/CRDImages/ep/original/DT224403.jpg,1878
https://images.metmuseum.org/CRDImages/ep/original/LC-1982_60_23.jpg,ca. 1520–25
https://images.metmuseum.org/CRDImages/as/original/DP166074.jpg,ca. 1800
https://images.metmuseum.org/CRDImages/ad/original/DT10354.jpg,ca. 1841–42
https://images.metmuseum.org/CRDImages/ep/original/EP258.jpg,1506–1518
https://images.metmuseum.org/CRDImages/ad/original/DT9826.jpg,1869 (?)
https://images.metmuseum.org/CRDImages/ep/original/DT1342.jpg,1899
https://images.metmuseum.org/CRDImages/ep/original/DP162148.jpg,1823
